sample_offset,num_samples,watch_ts_ms
418560,1920,1784743652491
420480,1920,1784743652531
422400,1920,1784743652571
424320,1920,1784743652611
426240,1920,1784743652652
428160,1920,1784743652691
430080,1920,1784743652733
432000,1920,1784743652772
433920,1920,1784743652812
435840,1920,1784743652852
437760,1920,1784743652892
439680,1920,1784743652933
441600,1920,1784743652973
443520,1920,1784743653013
445440,1920,1784743653052
447360,1920,1784743653093
449280,1920,1784743653131
451200,1920,1784743653172
453120,1920,1784743653212
455040,1920,1784743653251
456960,1920,1784743653292
458880,1920,1784743653333
460800,1920,1784743653373
462720,1920,1784743653411
464640,1920,1784743653453
466560,1920,1784743653491
468480,1920,1784743653531
470400,1920,1784743653573
472320,1920,1784743653613
474240,1920,1784743653652
476160,1920,1784743653691
478080,1920,1784743653731
480000,1920,1784743653771
481920,1920,1784743653811
483840,1920,1784743653852
485760,1920,1784743653892
487680,1920,1784743653933
489600,1920,1784743653971
491520,1920,1784743654012
493440,1920,1784743654051
495360,1920,1784743654091
497280,1920,1784743654131
499200,1920,1784743654171
501120,1920,1784743654211
503040,1920,1784743654251
504960,1920,1784743654291
506880,1920,1784743654331
508800,1920,1784743654370
510720,1920,1784743654413
512640,1920,1784743654451
514560,1920,1784743654492
516480,1920,1784743654533
518400,1920,1784743654571
520320,1920,1784743654611
522240,1920,1784743654652
524160,1920,1784743654692
526080,1920,1784743654731
528000,1920,1784743654771
529920,1920,1784743654812
531840,1920,1784743654852
533760,1920,1784743654893
535680,1920,1784743654933
537600,1920,1784743654973
539520,1920,1784743655012
541440,1920,1784743655052
543360,1920,1784743655092
545280,1920,1784743655135
547200,1920,1784743655173
549120,1920,1784743655213
551040,1920,1784743655252
552960,1920,1784743655293
554880,1920,1784743655333
556800,1920,1784743655371
558720,1920,1784743655412
560640,1920,1784743655453
562560,1920,1784743655492
564480,1920,1784743655531
566400,1920,1784743655571
568320,1920,1784743655613
570240,1920,1784743655652
572160,1920,1784743655691
574080,1920,1784743655733
576000,1920,1784743655773
577920,1920,1784743655813
579840,1920,1784743655852
581760,1920,1784743655893
583680,1920,1784743655933
585600,1920,1784743655973
587520,1920,1784743656011
589440,1920,1784743656051
591360,1920,1784743656091
593280,1920,1784743656132
595200,1920,1784743656171
597120,1920,1784743656212
599040,1920,1784743656251
600960,1920,1784743656292
602880,1920,1784743656331
604800,1920,1784743656374
606720,1920,1784743656411
608640,1920,1784743656452
610560,1920,1784743656493
612480,1920,1784743656532
614400,1920,1784743656571
616320,1920,1784743656611
618240,1920,1784743656652
620160,1920,1784743656692
622080,1920,1784743656732
624000,1920,1784743656772
625920,1920,1784743656812
627840,1920,1784743656851
629760,1920,1784743656893
631680,1920,1784743656932
633600,1920,1784743656972
635520,1920,1784743657012
637440,1920,1784743657053
639360,1920,1784743657093
641280,1920,1784743657132
643200,1920,1784743657173
