timestamp_sec,finger,hand_label,detected,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z
18.969609,index,Left,1,28.3095,17.3692,-52.6679,0.011992,0.016683,-0.002969,-3.251,-44.874,29.959
18.969609,middle,Left,1,22.9450,38.9690,-33.7223,0.017105,0.044135,0.085411,18.072,-53.359,34.636
18.969609,ring,Left,1,47.7767,56.4920,-86.7407,-0.013105,0.078271,-0.008450,31.728,-43.991,37.837
18.969609,pinky,Left,1,41.4746,17.0592,-74.1494,-0.019418,0.069488,0.036165,33.291,-28.176,42.140
19.010770,thumb,Left,1,-19.7435,4.4837,24.6651,-0.034416,0.024649,-0.258398,-28.623,-20.780,3.860
19.010770,index,Left,1,10.0841,10.6994,13.0451,-0.033389,-0.016669,-0.059833,-3.090,-45.555,30.556
19.010770,middle,Left,1,26.4976,20.4404,31.6489,0.020711,0.025204,0.102829,18.052,-54.126,35.441
19.010770,ring,Left,1,8.0643,8.3081,40.1289,0.005540,0.025472,0.024965,31.726,-44.569,39.337
19.010770,pinky,Left,1,-8.0105,-5.7978,19.0233,0.037977,0.035924,0.064442,33.138,-28.665,43.083
19.051372,thumb,Left,1,-24.5490,-13.7159,-16.5943,-0.112584,-0.026522,-0.157133,-28.525,-20.289,4.196
19.051372,index,Left,1,-15.4816,10.0466,45.5198,-0.092132,-0.032846,-0.044266,-2.684,-45.592,30.716
19.051372,middle,Left,1,6.4928,6.6309,39.3765,0.004171,0.030232,0.158057,18.076,-54.018,35.316
19.051372,ring,Left,1,-13.5690,-25.8329,80.5547,0.015360,0.022353,0.085007,31.487,-44.618,39.747
19.051372,pinky,Left,1,-15.6631,-23.5767,60.8503,0.060817,0.052548,0.141767,32.730,-29.072,43.427
19.093296,thumb,Left,1,-51.1756,-22.1892,26.7048,-0.047047,-0.029072,-0.150163,-29.081,-20.637,3.278
19.093296,index,Left,1,-16.6035,-1.4554,59.9745,-0.039369,-0.043413,0.002626,-2.635,-46.293,31.418
19.093296,middle,Left,1,-6.0060,-11.1600,60.4498,0.043499,-0.009426,0.100705,18.135,-54.665,36.340
19.093296,ring,Left,1,-29.6434,-37.8230,97.7169,0.054728,-0.042672,-0.006380,31.624,-45.003,40.872
19.093296,pinky,Left,1,-23.5881,-12.9463,68.4616,0.061323,-0.017346,0.016135,33.096,-29.312,44.007
